namn,parti,krets
Jan Lindholm,Miljöpartiet,Dalarnas län
Veronica Lindholm,Socialdemokraterna,Västerbottens län
Rasmus Ling,Miljöpartiet,Malmö kommun
Per Lodenius,Centerpartiet,Stockholms län
Eva Lohman,Moderaterna,Västernorrlands län
Elin Lundgren,Socialdemokraterna,Gävleborgs län
Kerstin Lundgren,Centerpartiet,Stockholms län
Peter Lundgren,Sverigedemokraterna,Östergötlands län
Fredrik Lundh Sammeli,Socialdemokraterna,Norrbottens län
Patrik Lundqvist,Socialdemokraterna,Gävleborgs län
David Lång,Sverigedemokraterna,Örebro län
Petter Löberg,Socialdemokraterna,Västra Götalands läns södra
Johan Löfstrand,Socialdemokraterna,Östergötlands län
Stefan Löfven,Socialdemokraterna,Stockholms kommun
Annie Lööf,Centerpartiet,Jönköpings län
Cecilia Magnusson,Moderaterna,Göteborgs kommun
Fredrik Malm,Folkpartiet,Stockholms kommun
Betty Malmberg,Moderaterna,Östergötlands län
Niclas Malmberg,Miljöpartiet,Uppsala län
Maria Malmer Stenergard,Moderaterna,Skåne läns norra och östra
Magnus Manhammar,Socialdemokraterna,Blekinge län
Adam Marttinen,Sverigedemokraterna,Stockholms kommun
Lars Mejern Larsson,Socialdemokraterna,Värmlands län
Jonas Millard,Sverigedemokraterna,Västra Götalands läns norra
Aron Modig,Kristdemokraterna,Göteborgs kommun
Valter Mutt,Miljöpartiet,Göteborgs kommun
Pyry Niemi,Socialdemokraterna,Uppsala län
Ingemar Nilsson,Socialdemokraterna,Västernorrlands län
Jennie Nilsson,Socialdemokraterna,Hallands län
Kerstin Nilsson,Socialdemokraterna,Skåne läns södra
Kristina Nilsson,Socialdemokraterna,Västernorrlands län
Pia Nilsson,Socialdemokraterna,Västmanlands län
Johan Nissinen,Sverigedemokraterna,Skåne läns norra och östra
Emma Nohrén,Miljöpartiet,Västra Götalands läns västra
Lars-Axel Nordell,Kristdemokraterna,Örebro län
Gunilla Nordgren,Moderaterna,Skåne läns södra
Lise Nordin,Miljöpartiet,Göteborgs kommun
Rickard Nordin,Centerpartiet,Göteborgs kommun
Andreas Norlén,Moderaterna,Östergötlands län
Christer Nylander,Folkpartiet,Skåne läns norra och östra
Ingela Nylund Watz,Socialdemokraterna,Stockholms län
Leif Nysmed,Socialdemokraterna,Stockholms län
Birgitta Ohlsson,Folkpartiet,Stockholms kommun
Carina Ohlsson,Socialdemokraterna,Västra Götalands läns östra
Fredrik Olovsson,Socialdemokraterna,Södermanlands län
Kalle Olsson,Socialdemokraterna,Jämtlands län
Lotta Olsson,Moderaterna,Örebro län
Per Olsson,Miljöpartiet,Stockholms kommun
Jasenko Omanovic,Socialdemokraterna,Västernorrlands län
Magnus Oscarsson,Kristdemokraterna,Östergötlands län
Mikael Oscarsson,Kristdemokraterna,Uppsala län
Mattias Ottosson,Socialdemokraterna,Östergötlands län
Veronica Palm,Socialdemokraterna,Stockholms kommun
Johan Pehrson,Folkpartiet,Örebro län
Magnus Persson,Sverigedemokraterna,Dalarnas län
Mats Persson,Folkpartiet,Skåne läns södra
Peter Persson,Socialdemokraterna,Jönköpings län
Rickard Persson,Miljöpartiet,Skåne läns västra
Helene Petersson,Socialdemokraterna,Jönköpings län
Jenny Petersson,Moderaterna,Hallands län
Désirée Pethrus,Kristdemokraterna,Stockholms kommun
Göran Pettersson,Moderaterna,Stockholms län
Helén Pettersson,Socialdemokraterna,Västerbottens län
Leif Pettersson,Socialdemokraterna,Norrbottens län
Maria Plass,Moderaterna,Västra Götalands läns västra
Jessica Polfjärd,Moderaterna,Västmanlands län
Raimo Pärssinen,Socialdemokraterna,Gävleborgs län
Annika Qarlsson,Centerpartiet,Västra Götalands läns norra
Saila Quicklund,Moderaterna,Jämtlands län
Per Ramhorn,Sverigedemokraterna,Kronobergs län
Fredrik Reinfeldt,Moderaterna,Stockholms kommun
Patrick Reslow,Moderaterna,Malmö kommun
Daniel Riazat,Vänsterpartiet,Dalarnas län
Roger Richtoff,Sverigedemokraterna,Skåne läns västra
Edward Riedl,Moderaterna,Västerbottens län
